Date,Open,High,Low,Close,Volume,Adj Close
1989-03-01,36.25,36.5,33.5,35.62,45966200,1.12
1989-02-01,37.75,40.25,35.25,36.25,66609000,1.14
1989-01-03,40.25,44,36.25,37.75,92930800,1.18
1988-12-01,37.75,42,37.5,40.25,36044800,1.26
1988-11-01,38.5,39.75,35.5,37.62,36996500,1.18
1988-10-03,43,43.25,37.5,38.62,45316100,1.21
1988-09-01,39.75,44.25,37.75,43.25,37538200,1.35
1988-08-01,44.5,45.75,39.25,39.88,31423900,1.24
1988-07-01,46.5,47.5,42.25,44.37,29317100,1.38
1988-06-01,41.5,46.75,41.25,46.25,41470600,1.44
1988-05-02,40.75,43.13,37.37,41.5,32877400,1.29
1988-04-04,39.75,42.37,38.5,41,42349000,1.27
1988-03-01,43.25,47.75,38.75,40,55428000,1.24
1988-02-01,41.75,43.75,37.75,43,43505800,1.34
1988-01-04,42.75,46.25,38.25,41.5,81088000,1.29
1987-12-01,33.5,43.75,29.75,42,54771100,1.3
1987-11-02,38.75,40,30.5,33,58135900,1.02
1987-10-01,56.75,59.75,27.63,38.62,79509300,1.2
1987-09-01,54.75,58.75,48.5,56.5,38066200,1.75
1987-08-03,41,54.25,40,54,38921200,1.67
1987-07-01,40.75,44.75,36.5,41.25,35719300,1.28
1987-06-01,79.5,80.25,38,40.5,41386500,1.25
1987-05-01,79.5,82.25,72.5,79,49144400,1.22
1987-04-01,63,80,62.38,79.25,84122400,1.22
1987-03-02,70.25,70.5,62.25,64.5,70824900,1
1987-02-02,55.5,71.37,51.63,70,92389600,1.08
1987-01-02,40.37,57.25,40.13,55.5,103319400,0.86
1986-12-01,40,43.87,39.12,40.5,55626500,0.63
1986-11-03,34.75,41.25,33.87,40,71404100,0.62
1986-10-01,33.37,35.25,32.25,34.62,33753600,0.53
1986-09-02,37.13,37.13,31.62,33.5,44749800,0.52
1986-08-01,31.12,38,30.63,37,44985000,0.57
1986-07-01,35.87,37.75,30,31.25,67884900,0.48
1986-06-02,37,39.12,32.5,35.87,49215700,0.55
1986-05-01,30.25,37.5,29.75,37,60493800,0.57
1986-04-01,28.25,32.75,26.25,30.25,52278000,0.47
1986-03-03,25,29.63,24.25,28.25,55651600,0.44
1986-02-03,23.13,26.75,22.87,25,46657700,0.39
1986-01-02,22,24.75,21.75,23.13,73176200,0.36
1985-12-02,20.13,22.87,19.25,22,43553000,0.34
1985-11-01,18.63,20.75,18.63,20.13,37296200,0.31
1985-10-01,15.75,19.25,15,18.63,42836800,0.29
1985-09-03,15,17.25,14.75,15.75,22935500,0.24
1985-08-01,15.87,16.13,14.5,15,21154700,0.23
1985-07-01,18.12,18.25,15.87,15.87,30467000,0.25
1985-06-03,17,18.5,14.75,18,74339100,0.28
1985-05-01,21.25,22.25,16.88,17.38,56915300,0.27
1985-04-01,22.13,23,19.63,21.25,35270900,0.33
1985-03-01,24.75,26,20.75,22.13,55985300,0.34
1985-02-01,29,30.75,24.75,24.75,66479600,0.38
1985-01-02,29.13,31.12,27.88,29,75484600,0.45
1984-12-03,24.75,29.25,24.38,29.13,45784700,0.45
1984-11-01,25,26.5,21.87,24.75,41413800,0.38
1984-10-01,25,27.38,22.5,24.88,39383500,0.38
1984-09-04,26.5,29,24.62,25.12,35974100,0.39
1984-08-01,25.5,30.88,24,26.5,57061300,0.41
1984-07-02,26.5,27.62,24.25,25.5,36125300,0.39
1984-06-01,29.37,30.75,24.25,26.5,39489600,0.41
1984-05-01,31.75,34.38,28,29.37,62303300,0.45
1984-04-02,24.75,31.38,23,31.38,43873200,0.48
1984-03-01,26.25,28,24.5,24.75,22859400,0.38
1984-02-01,24.75,27.62,22.37,26.25,40567500,0.41
1984-01-03,24.38,29.5,23.13,24.75,55998900,0.38
1983-12-01,20.38,25.25,19.75,24.38,32720000,0.38
1983-11-01,22.63,24.12,17.25,20.38,49839200,0.31
1983-10-03,23.13,24,17.88,22.63,61845800,0.35
1983-09-01,37.25,39.75,22.13,23.13,65339100,0.36
1983-08-01,34.88,37.25,30,37.25,35454000,0.57
1983-07-01,48.88,49.75,33.87,34.88,41476900,0.54
1983-06-01,57.75,63.25,45.75,48.88,33159600,0.75
1983-05-02,50.5,61,47.63,57.75,25356500,0.89
1983-04-04,42.25,52.75,38.62,50.5,45589300,0.78
1983-03-01,45.62,47.25,40.13,42.25,29711600,0.65
1983-02-01,40.87,48.62,40.25,45.62,43231400,0.7
1983-01-03,29.87,42,27.25,40.87,56750400,0.63
1982-12-01,31.88,34.88,27.62,29.87,31541400,0.46
1982-11-01,25.37,34,25.12,31.88,39422600,0.49
1982-10-01,18.5,26.75,18,25.37,46400200,0.39
1982-09-01,17.62,19,17.38,18.25,20693300,0.28
1982-08-02,13.88,18.12,12.25,18,26097200,0.28
1982-07-01,12.75,14.5,11,13.5,17343200,0.21
1982-06-01,13.88,14.12,12.75,12.75,9900800,0.2
1982-05-03,15.25,16.37,14,14,15788600,0.22
1982-04-01,17.75,17.88,14.62,14.75,24130900,0.23
1982-03-01,18.37,18.5,14.12,16.88,13585100,0.26
1982-02-01,20.38,20.5,18.25,18.25,8234600,0.28
1982-01-04,22.13,22.13,17.88,20.38,11467100,0.31
1981-12-01,18.63,23,18.12,22.13,12406500,0.34
1981-11-02,20,20.13,17.88,18.63,7633000,0.29
1981-10-01,15.25,20.13,15.25,20,10873900,0.31
1981-09-01,21.38,21.87,14.25,15.25,9448500,0.24
1981-08-03,25,26,18.87,20.13,7369600,0.31
1981-07-01,25.87,26.25,22.25,25,7708900,0.39
1981-06-01,33.13,33.25,26,26,11209900,0.4
1981-05-01,28.38,33.25,26.87,33.13,8122500,0.51
1981-04-01,24.38,29.37,24.25,28.38,6542100,0.44
1981-03-02,26.63,27,21.62,24.5,8144400,0.38
1981-02-02,26.75,28.87,23.75,26.5,4426000,0.41
1981-01-02,34.5,34.75,28.25,28.25,7799700,0.44
1980-12-12,28.75,36.13,25.25,34.13,26550000,0.53
